Time,x,y,z
0.15,-2101912.57166658,2815698.80080554,-240907.720374238
0.2,-2102088.01824706,2815465.35125202,-240918.509963426
0.25,-2102263.46126246,2815231.89617863,-240929.298934291
0.3,-2102438.90129394,2814998.43487176,-240940.087362216
0.35,-2102614.33764922,2814764.96822193,-240950.875209163
0.4,-2102789.77019326,2814531.49640022,-240961.662464621
0.45,-2102965.19921245,2814298.01887096,-240972.449091436
0.5,-2103140.6254358,2814064.53479365,-240983.235162356
0.55,-2103316.04779605,2813831.0456303,-240994.020609355
0.6,-2103491.46680955,2813597.55071109,-241004.805438866
0.65,-2103666.88178268,2813364.0508153,-241015.589655767
0.7,-2103842.29375122,2813130.54457254,-241026.373282755
0.75,-2104017.70197695,2812897.03307343,-241037.156323714
0.8,-2104193.10718613,2812663.51529773,-241047.938820469
0.85,-2104368.5083089,2812429.9926416,-241058.720708103
0.9,-2104543.90590149,2812196.46437961,-241069.50198267
0.95,-2104719.30037737,2811962.93004869,-241080.282594973
1,-2104894.69136363,2811729.39002301,-241091.062633006
1.05,-2105070.0787652,2811495.84451012,-241101.842084459
1.1,-2105245.46250213,2811262.29360472,-241112.620942497
1.15,-2105420.84297541,2811028.73669224,-241123.399198612
1.2,-2105596.21958469,2810795.17456482,-241134.176858189
1.25,-2105771.59334241,2810561.60599209,-241144.953983543
1.3,-2105946.96304764,2810328.03256108,-241155.730503323
1.35,-2106122.32934481,2810094.45328789,-241166.50640753
1.4,-2106297.69203555,2809860.86847992,-241177.281681133
1.45,-2106473.05154858,2809627.2777001,-241188.056340848
1.5,-2106648.4077117,2809393.68114645,-241198.830432544
1.55,-2106823.75982864,2809160.07960863,-241209.60392078
1.6,-2106999.10888261,2808926.47177167,-241220.3768124
1.65,-2107174.45386938,2808692.85906283,-241231.149092552
1.7,-2107349.79608293,2808459.23981152,-241241.920840889
1.75,-2107525.13420081,2808225.61561743,-241252.691977912
1.8,-2107700.46930234,2807991.98516891,-241263.462521199
1.85,-2107875.8003735,2807758.34975077,-241274.232394567
1.9,-2108051.12841736,2807524.70813882,-241285.001678498
1.95,-2108226.45250564,2807291.06141094,-241295.770360221
2,-2108401.77337076,2807057.40873414,-241306.538484304
2.05,-2108577.09054673,2806823.75059147,-241317.305983069
2.1,-2108752.40413115,2806590.08686666,-241328.072893341
2.15,-2108927.71437588,2806356.41729378,-241338.839237244
2.2,-2109103.02105088,2806122.7422109,-241349.605000667
2.25,-2109278.32457085,2805889.06105005,-241360.370196937
2.3,-2109453.62399702,2805655.37488179,-241371.134671454
2.35,-2109628.92056874,2805421.68228833,-241381.898580209
2.4,-2109804.21280083,2805187.98517184,-241392.661866947
2.45,-2109979.50212797,2804954.28165399,-241403.424611214
2.5,-2110154.78748873,2804720.57293295,-241414.186709671
2.55,-2110330.06953774,2804486.85832463,-241424.948238821
2.6,-2110505.34827129,2804253.13787243,-241435.709204276
2.65,-2110680.62362032,2804019.41160812,-241446.469591319
2.7,-2110855.89490415,2803785.68040149,-241457.229359934
2.75,-2111031.16317716,2803551.94286107,-241467.988480289
2.8,-2111206.42764838,2803318.20011162,-241478.746983232
2.85,-2111381.68851657,2803084.45178753,-241489.50489675
2.9,-2111556.94587534,2802850.69784376,-241500.262234042
2.95,-2111732.19989313,2802616.93801571,-241511.018977426
3,-2111907.45024937,2802383.17269201,-241521.77511499
3.05,-2112082.69713843,2802149.40160214,-241532.530678036
3.1,-2112257.94052648,2801915.62489033,-241543.285666891
3.15,-2112433.17999888,2801681.8431168,-241554.040043526
3.2,-2112608.41652656,2801448.05488354,-241564.793735083
3.25,-2112783.64901313,2801214.26164799,-241575.546828132
3.3,-2112958.87866652,2800980.46192686,-241586.299376742
3.35,-2113134.10423688,2800746.65735196,-241597.051314735
3.4,-2113309.32615807,2800512.84721442,-241607.802666831
3.45,-2113484.54472198,2800279.03113727,-241618.55340226
3.5,-2113659.75985728,2800045.2093493,-241629.30356838
3.55,-2113834.97146154,2799811.38192001,-241640.0531595
3.6,-2114010.17929684,2799577.54915391,-241650.802144294
3.65,-2114185.38393341,2799343.71031365,-241661.550473899
3.7,-2114360.58451444,2799109.86654569,-241672.298150265
3.75,-2114535.78234085,2798876.01610528,-241683.045296181
3.8,-2114710.9759572,2798642.16091064,-241693.791824231
3.85,-2114886.16665816,2798408.29930904,-241704.5378139
3.9,-2115061.35303044,2798174.4330529,-241715.283132675
3.95,-2115236.53666381,2797940.56004302,-241726.027910147
4,-2115411.71597058,2797706.68247126,-241736.772058314
4.05,-2115586.8923935,2797472.79846995,-241747.515645074
4.1,-2115762.06499375,2797238.9092504,-241758.258568037
4.15,-2115937.23387293,2797005.01449,-241769.000844264
4.2,-2116112.39933001,2796771.11399442,-241779.742549704
4.25,-2116287.56124888,2796537.20788958,-241790.483683138
4.3,-2116462.71994675,2796303.29571631,-241801.224254265
4.35,-2116637.87457685,2796069.37851493,-241811.964186049
4.4,-2116813.02612375,2795835.45507597,-241822.70354672
4.45,-2116988.17370638,2795601.52659485,-241833.442303763
4.5,-2117163.31801295,2795367.5920927,-241844.180474811
4.55,-2117338.45860483,2795133.65225753,-241854.917977941
4.6,-2117513.59560994,2794899.70679372,-241865.654858664
4.65,-2117688.72911785,2794665.75559934,-241876.3911513
4.7,-2117863.85912169,2794431.79868434,-241887.126869003
4.75,-2118038.9858898,2794197.83578471,-241897.862027883
4.8,-2118214.10862443,2793963.86791834,-241908.596575517
4.85,-2118389.22820359,2793729.89371819,-241919.330520505
4.9,-2118564.34380466,2793495.91449275,-241930.063849945
4.95,-2118739.45606197,2793261.92943878,-241940.796582325
5,-2118914.56456842,2793027.93906828,-241951.528680254
5.05,-2119089.6700829,2792793.94222431,-241962.260183618
5.1,-2119264.77171347,2792559.94015599,-241972.991065355
5.15,-2119439.86964547,2792325.9327001,-241983.721360027
5.2,-2119614.96403044,2792091.9195815,-241994.451075014
5.25,-2119790.05504122,2791857.90057509,-242005.180222254
5.3,-2119965.14214189,2791623.87633856,-242015.908728716
5.35,-2120140.22605409,2791389.8460323,-242026.636654682
5.4,-2120315.3061573,2791155.81039346,-242037.363937265
5.45,-2120490.38287523,2790921.76895294,-242048.09061357
5.5,-2120665.45591224,2790687.72206576,-242058.816683423
5.55,-2120840.52550344,2790453.66927137,-242069.542142656
5.6,-2121015.59155004,2790219.61081559,-242080.267022383
5.65,-2121190.65349932,2789985.54748127,-242090.99128986
5.7,-2121365.71262087,2789751.47758617,-242101.715022278
5.75,-2121540.76768551,2789517.40261732,-242112.438127605
5.8,-2121715.81932717,2789283.32178647,-242123.160614183
5.85,-2121890.86758022,2789049.23518552,-242133.882448573
5.9,-2122065.9120216,2788815.14333239,-242144.60367931
5.95,-2122240.95288517,2788581.04579477,-242155.324328744
6,-2122415.99037132,2788346.9423601,-242166.044383454
6.05,-2122591.02427529,2788112.83328897,-242176.763832886
6.1,-2122766.05452984,2787878.71869468,-242187.482697272
6.15,-2122941.08109889,2787644.59859769,-242198.200972191
6.2,-2123116.10438441,2787410.4725485,-242208.918683257
6.25,-2123291.12396905,2787176.34094264,-242219.635752321
6.3,-2123466.13972426,2786942.20403749,-242230.352141835
6.35,-2123641.15221401,2786708.06115983,-242241.067953001
6.4,-2123816.16070235,2786473.91326151,-242251.783158177
6.45,-2123991.16618721,2786239.75895012,-242262.497804259
6.5,-2124166.16768322,2786005.59943425,-242273.211802458
6.55,-2124341.16585342,2785771.43399004,-242283.925237146
6.6,-2124516.16024127,2785537.26324395,-242294.63807909
6.65,-2124691.15072324,2785303.0872598,-242305.350309299
6.7,-2124866.13829301,2785068.90477976,-242316.061960969
6.75,-2125041.1219438,2784834.71710756,-242326.772908852
6.8,-2125216.10227239,2784600.5235193,-242337.483282866
