Time,x,y,z,vx,vy,vz
0.15,-2101912.57166658,2815698.80080554,-240907.720374238,-3509.00877877871,-4668.98934147587,-215.800546360584
0.2,-2102088.01824706,2815465.35125202,-240918.509963426,-3508.98689909995,-4669.16465767613,-215.790451001494
0.25,-2102263.46126246,2815231.89617863,-240929.298934291,-3508.86865989007,-4669.21334395962,-215.776123231768
0.3,-2102438.90129394,2814998.43487176,-240940.087362216,-3508.73625833191,-4669.24371139999,-215.761108978329
0.35,-2102614.33764922,2814764.96822193,-240950.875209163,-3508.60375586875,-4669.27398210243,-215.746123420143
0.4,-2102789.77019326,2814531.49640022,-240961.662464621,-3508.53465068886,-4669.38656287733,-215.734786679581
0.45,-2102965.19921245,2814298.01887096,-240972.449091436,-3508.4768828192,-4669.5188646392,-215.722854289702
0.5,-2103140.6254358,2814064.53479365,-240983.235162356,-3508.40827557736,-4669.63066629212,-215.709345519425
0.55,-2103316.04779605,2813831.0456303,-240994.020609355,-3508.45170715472,-4669.8895132854,-215.704412735606
0.6,-2103491.46680955,2813597.55071109,-241004.805438866,-3508.2535802093,-4669.83689065314,-215.685480011662
0.65,-2103666.88178268,2813364.0508153,-241015.589655767,-3508.24726599544,-4670.03384454661,-215.676832595939
0.7,-2103842.29375122,2813130.54457254,-241026.373282755,-3508.24138595659,-4670.22869021753,-215.669060601528
0.75,-2104017.70197695,2812897.03307343,-241037.156323714,-3508.10885331597,-4670.25900901037,-215.653932213905
0.8,-2104193.10718613,2812663.51529773,-241047.938820469,-3508.10071235613,-4670.45341770506,-215.64601937176
0.85,-2104368.5083089,2812429.9926416,-241058.720708103,-3507.96812908978,-4670.48368392813,-215.630972696429
0.9,-2104543.90590149,2812196.46437961,-241069.50198267,-3507.96179031701,-4670.68054489087,-215.622068100632
0.95,-2104719.30037737,2811962.93004869,-241080.282594973,-3507.82965239416,-4670.70991401069,-215.604916130411
1,-2104894.69136363,2811729.39002301,-241091.062633006,-3507.82119348519,-4670.90456713575,-215.597773817882
1.05,-2105070.0787652,2811495.84451012,-241101.842084459,-3507.67476420436,-4670.9162717371,-215.581051135167
1.1,-2105245.46250213,2811262.29360472,-241112.620942497,-3507.55580387294,-4670.96690115565,-215.565731394527
1.15,-2105420.84297541,2811028.73669224,-241123.399198612,-3507.61080042503,-4671.24351137157,-215.561426094125
