time,x,y,z
0.15,-606436.280543613,3075821.95591929,1604925.87325675
0.2,-606688.065967302,3075656.81572019,1604969.05002192
0.25,-606939.849786051,3075491.66803504,1605012.22284892
0.3,-607191.632767705,3075326.51240848,1605055.39184074
0.35,-607443.413988142,3075161.34944579,1605098.55683653
0.4,-607695.193275835,3074996.17925798,1605141.71781008
0.45,-607946.971040864,3074831.00143234,1605184.87482708
0.5,-608198.748253656,3074665.81542176,1605228.02806041
0.55,-608450.523442287,3074500.62223669,1605271.17728682
0.6,-608702.29727429,3074335.42141728,1605314.32263737
0.65,-608954.068878473,3074170.21349209,1605357.4638879
0.7,-609205.839688585,3074004.9974884,1605400.60131636
0.75,-609457.608634612,3073839.77421207,1605443.73472993
0.8,-609709.376756843,3073674.54293961,1605486.86428945
0.85,-609961.142598715,3073509.30462834,1605529.98974931
0.9,-610212.90683266,3073344.05879189,1605573.11124279
0.95,-610464.670058228,3073178.80505835,1605616.2289775
1,-610716.431818514,3073013.54372451,1605659.3427387
1.05,-610968.191946481,3072848.27494656,1605702.45252798
1.1,-611219.950325044,3072682.99879112,1605745.55832235
1.15,-611471.707534506,3072517.71480104,1605788.66022418
1.2,-611723.462761277,3072352.42354262,1605831.75806012
1.25,-611975.217391445,3072187.12417301,1605874.85209797
1.3,-612226.969726045,3072021.81780689,1605917.94204477
1.35,-612478.720702268,3071856.50371267,1605961.02806453
1.4,-612730.470028508,3071691.18210953,1606004.11012467
1.45,-612982.218244713,3071525.85271383,1606047.18836176
1.5,-613233.965118736,3071360.51569214,1606090.26267328
1.55,-613485.709811419,3071195.17154329,1606133.33288841
1.6,-613737.453583158,3071029.81936415,1606176.39924347
1.65,-613989.195084036,3070864.46015772,1606219.46151298
1.7,-614240.936057294,3070699.09278687,1606262.51999286
1.75,-614492.674766437,3070533.71831956,1606305.57435553
1.8,-614744.412596628,3070368.33586484,1606348.62489987
1.85,-614996.148210619,3070202.94627702,1606391.67140862
1.9,-615247.882868483,3070037.54877215,1606434.71408633
1.95,-615499.61549405,3069872.14403678,1606477.75269679
2,-615751.346954477,3069706.73155479,1606520.78740625
2.05,-616003.076683463,3069541.31160355,1606563.81812409
2.1,-616254.804811685,3069375.8841225,1606606.84484639
2.15,-616506.531636417,3069210.44895327,1606649.86763101
2.2,-616758.25685123,3069045.00632635,1606692.88644166
2.25,-617009.981060229,3068879.555829,1606735.90138928
2.3,-617261.702960812,3068714.09814272,1606778.91228628
2.35,-617513.424182037,3068548.63237196,1606821.91939206
2.4,-617765.142777206,3068383.15981026,1606864.92234726
2.45,-618016.860664609,3068217.67917847,1606907.92147347
2.5,-618268.576470707,3068052.19124112,1606950.91652144
2.55,-618520.291043671,3067886.69557328,1606993.90765321
2.6,-618772.004342451,3067721.19222354,1607036.89486354
2.65,-619023.716292473,3067555.68119789,1607079.87813222
2.7,-619275.4260091,3067390.16307652,1607122.85731018
2.75,-619527.134858368,3067224.63687721,1607165.83269852
2.8,-619778.841782785,3067059.10341286,1607208.80408121
2.85,-620030.547092735,3066893.56242266,1607251.77146387
2.9,-620282.250875686,3066728.01389843,1607294.73487472
2.95,-620533.953366984,3066562.45763855,1607337.69436485
3,-620785.654179665,3066396.89389354,1607380.64986038
3.05,-621037.353560134,3066231.32249573,1607423.60137445
3.1,-621289.051444372,3066065.74355598,1607466.54892735
3.15,-621540.747220387,3065900.15747029,1607509.49242618
3.2,-621792.442239122,3065734.56318726,1607552.4321823
3.25,-622044.135065287,3065568.96177393,1607595.36782793
3.3,-622295.827284683,3065403.35222805,1607638.29967172
3.35,-622547.517177323,3065237.73568166,1607681.22741129
3.4,-622799.205437242,3065072.11160215,1607724.15113248
3.45,-623050.892415915,3064906.4797209,1607767.07093363
3.5,-623302.57796042,3064740.84025151,1607809.98677866
3.55,-623554.262014433,3064575.19320711,1607852.89864988
3.6,-623805.944181359,3064409.53881503,1607895.80648055
3.65,-624057.625242354,3064243.87651934,1607938.71048566
3.7,-624309.304043338,3064078.20713389,1607981.61043185
3.75,-624560.982371655,3063912.52947942,1608024.50656413
3.8,-624812.658249867,3063746.84487125,1608067.39855611
